local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,avenue41_to_harrisln,NB,0.01,0.54,39.9
9/1/2024 1:00,avenue41_to_harrisln,NB,0,0.51,41.7
9/1/2024 2:00,avenue41_to_harrisln,NB,0,0.51,42.3
9/1/2024 3:00,avenue41_to_harrisln,NB,0,0.46,
9/1/2024 4:00,avenue41_to_harrisln,NB,0,0.51,42.4
9/1/2024 5:00,avenue41_to_harrisln,NB,0,0.49,44.3
9/1/2024 6:00,avenue41_to_harrisln,NB,0.01,0.49,44
9/1/2024 7:00,avenue41_to_harrisln,NB,0,0.48,44.3
9/1/2024 8:00,avenue41_to_harrisln,NB,0.03,0.55,39.5
9/1/2024 9:00,avenue41_to_harrisln,NB,0.01,0.51,42.2
9/1/2024 10:00,avenue41_to_harrisln,NB,0.03,0.56,39.8
9/1/2024 11:00,avenue41_to_harrisln,NB,0.04,0.55,39.6
9/1/2024 12:00,avenue41_to_harrisln,NB,0.05,0.57,37.7
9/1/2024 13:00,avenue41_to_harrisln,NB,0.04,0.58,37.6
9/1/2024 14:00,avenue41_to_harrisln,NB,0.07,0.59,36.3
9/1/2024 15:00,avenue41_to_harrisln,NB,0.01,0.53,40.5
9/1/2024 16:00,avenue41_to_harrisln,NB,0.04,0.55,39.4
9/1/2024 17:00,avenue41_to_harrisln,NB,0.04,0.55,39.6
9/1/2024 18:00,avenue41_to_harrisln,NB,0.08,0.59,37.2
9/1/2024 19:00,avenue41_to_harrisln,NB,0.05,0.57,38.4
9/1/2024 20:00,avenue41_to_harrisln,NB,0.03,0.57,37.9
9/1/2024 21:00,avenue41_to_harrisln,NB,0.04,0.55,39.1
9/1/2024 22:00,avenue41_to_harrisln,NB,0.02,0.53,41.3
9/1/2024 23:00,avenue41_to_harrisln,NB,0,0.53,40.6
9/2/2024 0:00,avenue41_to_harrisln,NB,0.02,0.53,40.3
9/2/2024 1:00,avenue41_to_harrisln,NB,0,0.5,43.4
9/2/2024 2:00,avenue41_to_harrisln,NB,0.02,0.52,42
9/2/2024 3:00,avenue41_to_harrisln,NB,0,0.5,42.8
9/2/2024 4:00,avenue41_to_harrisln,NB,0,0.46,46.4
9/2/2024 5:00,avenue41_to_harrisln,NB,0,0.47,45.6
9/2/2024 6:00,avenue41_to_harrisln,NB,0,0.51,42.3
9/2/2024 7:00,avenue41_to_harrisln,NB,0.04,0.55,39.5
9/2/2024 8:00,avenue41_to_harrisln,NB,0.03,0.54,40.2
9/2/2024 9:00,avenue41_to_harrisln,NB,0.07,0.6,37.2
9/2/2024 10:00,avenue41_to_harrisln,NB,0.02,0.54,39.4
9/2/2024 11:00,avenue41_to_harrisln,NB,0.03,0.57,37.9
9/2/2024 12:00,avenue41_to_harrisln,NB,0.01,0.56,38.5
9/2/2024 13:00,avenue41_to_harrisln,NB,0.02,0.55,39.2
9/2/2024 14:00,avenue41_to_harrisln,NB,0.09,0.6,36.4
9/2/2024 15:00,avenue41_to_harrisln,NB,0.05,0.56,39.2
9/2/2024 16:00,avenue41_to_harrisln,NB,0.03,0.55,39.2
9/2/2024 17:00,avenue41_to_harrisln,NB,0.02,0.54,39.7
9/2/2024 18:00,avenue41_to_harrisln,NB,0.07,0.58,38.3
9/2/2024 19:00,avenue41_to_harrisln,NB,0.02,0.55,39.2
9/2/2024 20:00,avenue41_to_harrisln,NB,0.02,0.55,38.9
9/2/2024 21:00,avenue41_to_harrisln,NB,0.01,0.52,41.1
9/2/2024 22:00,avenue41_to_harrisln,NB,0.02,0.54,39.7
9/2/2024 23:00,avenue41_to_harrisln,NB,0.06,0.58,37.8
9/3/2024 0:00,avenue41_to_harrisln,NB,0,0.48,45
9/3/2024 1:00,avenue41_to_harrisln,NB,0,0.49,43.8
9/3/2024 2:00,avenue41_to_harrisln,NB,0,0.48,44.7
9/3/2024 3:00,avenue41_to_harrisln,NB,0,0.47,46
9/3/2024 4:00,avenue41_to_harrisln,NB,0,0.49,44
9/3/2024 5:00,avenue41_to_harrisln,NB,0,0.52,41.4
9/3/2024 6:00,avenue41_to_harrisln,NB,0.02,0.54,39.8
9/3/2024 7:00,avenue41_to_harrisln,NB,0.04,0.58,37.1
9/3/2024 8:00,avenue41_to_harrisln,NB,0.06,0.6,36.6
9/3/2024 9:00,avenue41_to_harrisln,NB,0.06,0.6,36
9/3/2024 10:00,avenue41_to_harrisln,NB,0.04,0.59,36.9
9/3/2024 11:00,avenue41_to_harrisln,NB,0.09,0.65,33.9
9/3/2024 12:00,avenue41_to_harrisln,NB,0.03,0.59,36.4
9/3/2024 13:00,avenue41_to_harrisln,NB,0.08,0.62,35.7
9/3/2024 14:00,avenue41_to_harrisln,NB,0.11,0.65,34
9/3/2024 15:00,avenue41_to_harrisln,NB,0.19,0.75,29.4
9/3/2024 16:00,avenue41_to_harrisln,NB,0.07,0.62,35
9/3/2024 17:00,avenue41_to_harrisln,NB,0.1,0.62,35.3
9/3/2024 18:00,avenue41_to_harrisln,NB,0.03,0.56,38.7
9/3/2024 19:00,avenue41_to_harrisln,NB,0.06,0.57,38.4
9/3/2024 20:00,avenue41_to_harrisln,NB,0.11,0.64,34.8
9/3/2024 21:00,avenue41_to_harrisln,NB,0.02,0.53,40.8
9/3/2024 22:00,avenue41_to_harrisln,NB,0.02,0.5,43.3
9/3/2024 23:00,avenue41_to_harrisln,NB,0,0.49,44.2
9/4/2024 0:00,avenue41_to_harrisln,NB,0.02,0.53,40.9
9/4/2024 1:00,avenue41_to_harrisln,NB,0,0.49,43.8
9/4/2024 2:00,avenue41_to_harrisln,NB,0,0.47,46.3
9/4/2024 3:00,avenue41_to_harrisln,NB,0.01,0.54,40.3
9/4/2024 4:00,avenue41_to_harrisln,NB,0.04,0.54,40.7
9/4/2024 5:00,avenue41_to_harrisln,NB,0.01,0.47,46.3
9/4/2024 6:00,avenue41_to_harrisln,NB,0.03,0.55,39.4
9/4/2024 7:00,avenue41_to_harrisln,NB,0.07,0.59,36.7
9/4/2024 8:00,avenue41_to_harrisln,NB,0.03,0.58,37.3
9/4/2024 9:00,avenue41_to_harrisln,NB,0.04,0.59,36.6
9/4/2024 10:00,avenue41_to_harrisln,NB,0.01,0.56,38.4
9/4/2024 11:00,avenue41_to_harrisln,NB,0.05,0.59,37.1
9/4/2024 12:00,avenue41_to_harrisln,NB,0.03,0.59,36.5
9/4/2024 13:00,avenue41_to_harrisln,NB,0.15,0.71,31.1
9/4/2024 14:00,avenue41_to_harrisln,NB,0.05,0.61,35.1
9/4/2024 15:00,avenue41_to_harrisln,NB,0.12,0.68,32.3
9/4/2024 16:00,avenue41_to_harrisln,NB,0.07,0.61,35.7
9/4/2024 17:00,avenue41_to_harrisln,NB,0.06,0.6,36.7
9/4/2024 18:00,avenue41_to_harrisln,NB,0.06,0.58,37.4
9/4/2024 19:00,avenue41_to_harrisln,NB,0.04,0.57,38
9/4/2024 20:00,avenue41_to_harrisln,NB,0.03,0.55,39.4
9/4/2024 21:00,avenue41_to_harrisln,NB,0.01,0.53,40.8
9/4/2024 22:00,avenue41_to_harrisln,NB,0.01,0.5,43.4
9/4/2024 23:00,avenue41_to_harrisln,NB,0,0.48,44.5
9/5/2024 0:00,avenue41_to_harrisln,NB,0,0.51,42
9/5/2024 1:00,avenue41_to_harrisln,NB,0,0.47,45.7
9/5/2024 2:00,avenue41_to_harrisln,NB,0.28,0.79,30.4
9/5/2024 3:00,avenue41_to_harrisln,NB,0,0.51,41.9
9/5/2024 4:00,avenue41_to_harrisln,NB,0,0.46,46.8
9/5/2024 5:00,avenue41_to_harrisln,NB,0.01,0.51,42.8
9/5/2024 6:00,avenue41_to_harrisln,NB,0.04,0.53,41.5
9/5/2024 7:00,avenue41_to_harrisln,NB,0.04,0.57,37.6
9/5/2024 8:00,avenue41_to_harrisln,NB,0.07,0.64,34.1
9/5/2024 9:00,avenue41_to_harrisln,NB,0.07,0.6,35.9
9/5/2024 10:00,avenue41_to_harrisln,NB,0.05,0.61,35.4
9/5/2024 11:00,avenue41_to_harrisln,NB,0.07,0.62,35.1
9/5/2024 12:00,avenue41_to_harrisln,NB,0.08,0.63,34.3
9/5/2024 13:00,avenue41_to_harrisln,NB,0.02,0.56,38.2
9/5/2024 14:00,avenue41_to_harrisln,NB,0.1,0.66,33.2
9/5/2024 15:00,avenue41_to_harrisln,NB,0.15,0.7,32.4
9/5/2024 16:00,avenue41_to_harrisln,NB,0.03,0.58,37.4
9/5/2024 17:00,avenue41_to_harrisln,NB,0.06,0.59,37.1
9/5/2024 18:00,avenue41_to_harrisln,NB,0.06,0.59,36.8
9/5/2024 19:00,avenue41_to_harrisln,NB,0.01,0.53,40.7
9/5/2024 20:00,avenue41_to_harrisln,NB,0.03,0.56,38.5
9/5/2024 21:00,avenue41_to_harrisln,NB,0.02,0.53,41
9/5/2024 22:00,avenue41_to_harrisln,NB,0.03,0.55,39
9/5/2024 23:00,avenue41_to_harrisln,NB,0,0.46,46.5
9/6/2024 0:00,avenue41_to_harrisln,NB,0.02,0.56,38.8
9/6/2024 1:00,avenue41_to_harrisln,NB,0,0.48,44.8
9/6/2024 2:00,avenue41_to_harrisln,NB,0,0.47,46
9/6/2024 3:00,avenue41_to_harrisln,NB,0,0.45,47.5
9/6/2024 4:00,avenue41_to_harrisln,NB,0.01,0.49,44.2
9/6/2024 5:00,avenue41_to_harrisln,NB,0,0.51,42.4
9/6/2024 6:00,avenue41_to_harrisln,NB,0.04,0.55,39.6
9/6/2024 7:00,avenue41_to_harrisln,NB,0.03,0.58,37.3
9/6/2024 8:00,avenue41_to_harrisln,NB,0.05,0.61,35.8
9/6/2024 9:00,avenue41_to_harrisln,NB,0.03,0.56,38.5
9/6/2024 10:00,avenue41_to_harrisln,NB,0.04,0.58,36.7
9/6/2024 11:00,avenue41_to_harrisln,NB,0.05,0.61,35.6
9/6/2024 12:00,avenue41_to_harrisln,NB,0.05,0.6,35.7
9/6/2024 13:00,avenue41_to_harrisln,NB,0.08,0.65,33.1
9/6/2024 14:00,avenue41_to_harrisln,NB,0.09,0.66,32.7
9/6/2024 15:00,avenue41_to_harrisln,NB,0.15,0.71,30.9
9/6/2024 16:00,avenue41_to_harrisln,NB,0.07,0.62,35
9/6/2024 17:00,avenue41_to_harrisln,NB,0.06,0.61,35.7
9/6/2024 18:00,avenue41_to_harrisln,NB,0.03,0.56,38.4
9/6/2024 19:00,avenue41_to_harrisln,NB,0.03,0.57,38.6
9/6/2024 20:00,avenue41_to_harrisln,NB,0.01,0.54,40.3
9/6/2024 21:00,avenue41_to_harrisln,NB,0.04,0.56,38.5
9/6/2024 22:00,avenue41_to_harrisln,NB,0.05,0.56,38.7
9/6/2024 23:00,avenue41_to_harrisln,NB,0.05,0.59,37.2
9/7/2024 0:00,avenue41_to_harrisln,NB,0.04,0.52,41.9
9/7/2024 1:00,avenue41_to_harrisln,NB,0.04,0.54,40.8
9/7/2024 2:00,avenue41_to_harrisln,NB,0.02,0.51,42.4
9/7/2024 3:00,avenue41_to_harrisln,NB,0,0.49,44
9/7/2024 4:00,avenue41_to_harrisln,NB,0.02,0.51,42.9
9/7/2024 5:00,avenue41_to_harrisln,NB,0.01,0.52,41.6
9/7/2024 6:00,avenue41_to_harrisln,NB,0.04,0.53,40.8
9/7/2024 7:00,avenue41_to_harrisln,NB,0.06,0.55,40.4
9/7/2024 8:00,avenue41_to_harrisln,NB,0.03,0.55,39.9
9/7/2024 9:00,avenue41_to_harrisln,NB,0.03,0.53,40.8
9/7/2024 10:00,avenue41_to_harrisln,NB,0.03,0.57,38
9/7/2024 11:00,avenue41_to_harrisln,NB,0.05,0.6,36.1
9/7/2024 12:00,avenue41_to_harrisln,NB,0.05,0.57,37.4
9/7/2024 13:00,avenue41_to_harrisln,NB,0.02,0.56,38.6
9/7/2024 14:00,avenue41_to_harrisln,NB,0.03,0.58,37.1
9/7/2024 15:00,avenue41_to_harrisln,NB,0.02,0.53,40.4
9/7/2024 16:00,avenue41_to_harrisln,NB,0.05,0.57,38.2
9/7/2024 17:00,avenue41_to_harrisln,NB,0.03,0.55,39.5
9/7/2024 18:00,avenue41_to_harrisln,NB,0.05,0.58,37.4
9/7/2024 19:00,avenue41_to_harrisln,NB,0.01,0.53,40.8
9/7/2024 20:00,avenue41_to_harrisln,NB,0.02,0.54,39.7
9/7/2024 21:00,avenue41_to_harrisln,NB,0.02,0.54,39.8
9/7/2024 22:00,avenue41_to_harrisln,NB,0.02,0.53,40.6
9/7/2024 23:00,avenue41_to_harrisln,NB,0.02,0.5,43.8
9/8/2024 0:00,avenue41_to_harrisln,NB,0.04,0.56,38.7
9/8/2024 1:00,avenue41_to_harrisln,NB,0.04,0.53,41
9/8/2024 2:00,avenue41_to_harrisln,NB,0,0.46,47.1
9/8/2024 3:00,avenue41_to_harrisln,NB,0.01,0.5,42.8
9/8/2024 4:00,avenue41_to_harrisln,NB,0.03,0.51,43.1
9/8/2024 5:00,avenue41_to_harrisln,NB,0.02,0.52,41.8
9/8/2024 6:00,avenue41_to_harrisln,NB,0.02,0.54,39.7
9/8/2024 7:00,avenue41_to_harrisln,NB,0.03,0.51,42.3
9/8/2024 8:00,avenue41_to_harrisln,NB,0.06,0.56,39.4
9/8/2024 9:00,avenue41_to_harrisln,NB,0.03,0.55,39.3
9/8/2024 10:00,avenue41_to_harrisln,NB,0.02,0.54,40.2
9/8/2024 11:00,avenue41_to_harrisln,NB,0.02,0.56,38.2
9/8/2024 12:00,avenue41_to_harrisln,NB,0.03,0.56,38.3
9/8/2024 13:00,avenue41_to_harrisln,NB,0.03,0.55,38.9
9/8/2024 14:00,avenue41_to_harrisln,NB,0.04,0.56,38.8
9/8/2024 15:00,avenue41_to_harrisln,NB,0,0.53,40.7
9/8/2024 16:00,avenue41_to_harrisln,NB,0.01,0.53,40.4
9/8/2024 17:00,avenue41_to_harrisln,NB,0.04,0.55,39
9/8/2024 18:00,avenue41_to_harrisln,NB,0.03,0.54,39.7
9/8/2024 19:00,avenue41_to_harrisln,NB,0.04,0.55,39.1
9/8/2024 20:00,avenue41_to_harrisln,NB,0.07,0.59,36.5
9/8/2024 21:00,avenue41_to_harrisln,NB,0.04,0.58,37.4
9/8/2024 22:00,avenue41_to_harrisln,NB,0.02,0.53,40.8
9/8/2024 23:00,avenue41_to_harrisln,NB,0.01,0.53,40.7
9/9/2024 0:00,avenue41_to_harrisln,NB,0,0.46,46.1
9/9/2024 1:00,avenue41_to_harrisln,NB,0,0.5,42.9
9/9/2024 2:00,avenue41_to_harrisln,NB,0.01,0.47,45.7
9/9/2024 3:00,avenue41_to_harrisln,NB,0,0.47,46
9/9/2024 4:00,avenue41_to_harrisln,NB,0,0.46,47.1
9/9/2024 5:00,avenue41_to_harrisln,NB,0.02,0.51,42
9/9/2024 6:00,avenue41_to_harrisln,NB,0,0.5,43.4
9/9/2024 7:00,avenue41_to_harrisln,NB,0.05,0.58,37.4
9/9/2024 8:00,avenue41_to_harrisln,NB,0.03,0.6,35.6
9/9/2024 9:00,avenue41_to_harrisln,NB,0.06,0.58,38.2
9/9/2024 10:00,avenue41_to_harrisln,NB,0.04,0.56,38.8
9/9/2024 11:00,avenue41_to_harrisln,NB,0.05,0.6,36
9/9/2024 12:00,avenue41_to_harrisln,NB,0.07,0.63,34.5
9/9/2024 13:00,avenue41_to_harrisln,NB,0.04,0.6,35.8
9/9/2024 14:00,avenue41_to_harrisln,NB,0.07,0.63,34.5
9/9/2024 15:00,avenue41_to_harrisln,NB,0.06,0.62,34.6
9/9/2024 16:00,avenue41_to_harrisln,NB,0.05,0.61,35.6
9/9/2024 17:00,avenue41_to_harrisln,NB,0.03,0.58,37.1
9/9/2024 18:00,avenue41_to_harrisln,NB,0.07,0.6,36.4
9/9/2024 19:00,avenue41_to_harrisln,NB,0.06,0.59,36.9
9/9/2024 20:00,avenue41_to_harrisln,NB,0.02,0.54,39.9
9/9/2024 21:00,avenue41_to_harrisln,NB,0.03,0.55,39.3
9/9/2024 22:00,avenue41_to_harrisln,NB,0.04,0.55,39.1
9/9/2024 23:00,avenue41_to_harrisln,NB,0.05,0.55,39.6
9/10/2024 0:00,avenue41_to_harrisln,NB,0,0.48,45
