local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,harrisln_to_countryclubdrive,NB,0.21,0.42,20.6
9/1/2024 1:00,harrisln_to_countryclubdrive,NB,0.1,0.31,26
9/1/2024 2:00,harrisln_to_countryclubdrive,NB,0.06,0.25,34.8
9/1/2024 3:00,harrisln_to_countryclubdrive,NB,0.01,0.18,42.8
9/1/2024 4:00,harrisln_to_countryclubdrive,NB,0.08,0.28,29.9
9/1/2024 5:00,harrisln_to_countryclubdrive,NB,0.16,0.37,22.6
9/1/2024 6:00,harrisln_to_countryclubdrive,NB,0.21,0.43,19.6
9/1/2024 7:00,harrisln_to_countryclubdrive,NB,0.22,0.43,19.7
9/1/2024 8:00,harrisln_to_countryclubdrive,NB,0.12,0.33,25
9/1/2024 9:00,harrisln_to_countryclubdrive,NB,0.13,0.34,24.9
9/1/2024 10:00,harrisln_to_countryclubdrive,NB,0.13,0.35,24.4
9/1/2024 11:00,harrisln_to_countryclubdrive,NB,0.33,0.54,15.7
9/1/2024 12:00,harrisln_to_countryclubdrive,NB,0.23,0.44,19.7
9/1/2024 13:00,harrisln_to_countryclubdrive,NB,0.25,0.46,17.7
9/1/2024 14:00,harrisln_to_countryclubdrive,NB,0.16,0.37,24.4
9/1/2024 15:00,harrisln_to_countryclubdrive,NB,0.1,0.31,27.6
9/1/2024 16:00,harrisln_to_countryclubdrive,NB,0.09,0.3,29.1
9/1/2024 17:00,harrisln_to_countryclubdrive,NB,0.19,0.4,22.6
9/1/2024 18:00,harrisln_to_countryclubdrive,NB,0.21,0.42,21.5
9/1/2024 19:00,harrisln_to_countryclubdrive,NB,0.16,0.37,24.8
9/1/2024 20:00,harrisln_to_countryclubdrive,NB,0.31,0.53,15.9
9/1/2024 21:00,harrisln_to_countryclubdrive,NB,0.31,0.52,16.2
9/1/2024 22:00,harrisln_to_countryclubdrive,NB,0.13,0.33,26.1
9/1/2024 23:00,harrisln_to_countryclubdrive,NB,0.29,0.5,16.3
9/2/2024 0:00,harrisln_to_countryclubdrive,NB,0.16,0.37,22.8
9/2/2024 1:00,harrisln_to_countryclubdrive,NB,0.2,0.4,25.2
9/2/2024 2:00,harrisln_to_countryclubdrive,NB,0.04,0.24,34.2
9/2/2024 3:00,harrisln_to_countryclubdrive,NB,0.02,0.19,42.6
9/2/2024 4:00,harrisln_to_countryclubdrive,NB,0.11,0.31,29.4
9/2/2024 5:00,harrisln_to_countryclubdrive,NB,0.1,0.3,30.7
9/2/2024 6:00,harrisln_to_countryclubdrive,NB,0.13,0.34,25.5
9/2/2024 7:00,harrisln_to_countryclubdrive,NB,0.07,0.28,28.2
9/2/2024 8:00,harrisln_to_countryclubdrive,NB,0.33,0.55,15.4
9/2/2024 9:00,harrisln_to_countryclubdrive,NB,0.2,0.42,20.3
9/2/2024 10:00,harrisln_to_countryclubdrive,NB,0.2,0.41,20.2
9/2/2024 11:00,harrisln_to_countryclubdrive,NB,0.23,0.45,18.2
9/2/2024 12:00,harrisln_to_countryclubdrive,NB,0.13,0.35,24.3
9/2/2024 13:00,harrisln_to_countryclubdrive,NB,0.2,0.41,19.5
9/2/2024 14:00,harrisln_to_countryclubdrive,NB,0.28,0.5,15.9
9/2/2024 15:00,harrisln_to_countryclubdrive,NB,0.15,0.37,22.5
9/2/2024 16:00,harrisln_to_countryclubdrive,NB,0.05,0.26,30.2
9/2/2024 17:00,harrisln_to_countryclubdrive,NB,0.18,0.39,23.1
9/2/2024 18:00,harrisln_to_countryclubdrive,NB,0.1,0.31,26.2
9/2/2024 19:00,harrisln_to_countryclubdrive,NB,0.09,0.3,26.9
