local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,countryclubdrive_to_I10interchange,NB,0.09,0.36,27.9
9/1/2024 1:00,countryclubdrive_to_I10interchange,NB,0.13,0.4,25
9/1/2024 2:00,countryclubdrive_to_I10interchange,NB,0.03,0.3,32.8
9/1/2024 3:00,countryclubdrive_to_I10interchange,NB,0.04,0.3,32.1
9/1/2024 4:00,countryclubdrive_to_I10interchange,NB,0.01,0.27,35.5
9/1/2024 5:00,countryclubdrive_to_I10interchange,NB,0.04,0.31,31.3
9/1/2024 6:00,countryclubdrive_to_I10interchange,NB,0.19,0.47,22.1
9/1/2024 7:00,countryclubdrive_to_I10interchange,NB,0.19,0.47,21.8
9/1/2024 8:00,countryclubdrive_to_I10interchange,NB,0.36,0.63,16.3
9/1/2024 9:00,countryclubdrive_to_I10interchange,NB,0.32,0.6,17.8
9/1/2024 10:00,countryclubdrive_to_I10interchange,NB,0.32,0.6,17.3
9/1/2024 11:00,countryclubdrive_to_I10interchange,NB,0.34,0.61,16.8
9/1/2024 12:00,countryclubdrive_to_I10interchange,NB,0.3,0.58,17
9/1/2024 13:00,countryclubdrive_to_I10interchange,NB,0.43,0.7,15.1
9/1/2024 14:00,countryclubdrive_to_I10interchange,NB,0.23,0.51,20
9/1/2024 15:00,countryclubdrive_to_I10interchange,NB,0.25,0.52,19.7
9/1/2024 16:00,countryclubdrive_to_I10interchange,NB,0.2,0.48,21.5
9/1/2024 17:00,countryclubdrive_to_I10interchange,NB,0.33,0.6,17.2
9/1/2024 18:00,countryclubdrive_to_I10interchange,NB,0.15,0.43,23.3
9/1/2024 19:00,countryclubdrive_to_I10interchange,NB,0.21,0.49,21.6
9/1/2024 20:00,countryclubdrive_to_I10interchange,NB,0.29,0.57,18
9/1/2024 21:00,countryclubdrive_to_I10interchange,NB,0.23,0.51,20.3
9/1/2024 22:00,countryclubdrive_to_I10interchange,NB,0.17,0.44,23.1
9/1/2024 23:00,countryclubdrive_to_I10interchange,NB,0.36,0.64,16
9/2/2024 0:00,countryclubdrive_to_I10interchange,NB,0.15,0.43,23.2
9/2/2024 1:00,countryclubdrive_to_I10interchange,NB,0.07,0.34,28.9
