local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,varnerrd_to_I10interchange,SB,0,0.14,53.6
9/1/2024 1:00,varnerrd_to_I10interchange,SB,0,0.14,51.9
9/1/2024 2:00,varnerrd_to_I10interchange,SB,0,0.14,52.6
9/1/2024 3:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/1/2024 4:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/1/2024 5:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/1/2024 6:00,varnerrd_to_I10interchange,SB,0,0.15,50.2
9/1/2024 7:00,varnerrd_to_I10interchange,SB,0,0.13,58.6
9/1/2024 8:00,varnerrd_to_I10interchange,SB,0,0.13,56.7
9/1/2024 9:00,varnerrd_to_I10interchange,SB,0,0.12,60.2
9/1/2024 10:00,varnerrd_to_I10interchange,SB,0,0.12,61.2
9/1/2024 11:00,varnerrd_to_I10interchange,SB,0,0.13,56.9
9/1/2024 12:00,varnerrd_to_I10interchange,SB,0,0.14,53.3
9/1/2024 13:00,varnerrd_to_I10interchange,SB,0,0.13,58.7
9/1/2024 14:00,varnerrd_to_I10interchange,SB,0,0.13,57.9
9/1/2024 15:00,varnerrd_to_I10interchange,SB,0,0.14,55.1
9/1/2024 16:00,varnerrd_to_I10interchange,SB,0,0.14,54.4
9/1/2024 17:00,varnerrd_to_I10interchange,SB,0,0.13,57.1
9/1/2024 18:00,varnerrd_to_I10interchange,SB,0,0.14,53.8
9/1/2024 19:00,varnerrd_to_I10interchange,SB,0,0.13,58.1
9/1/2024 20:00,varnerrd_to_I10interchange,SB,0,0.13,57.7
9/1/2024 21:00,varnerrd_to_I10interchange,SB,0,0.13,55.5
9/1/2024 22:00,varnerrd_to_I10interchange,SB,0,0.13,58.2
9/1/2024 23:00,varnerrd_to_I10interchange,SB,0,0.14,53.3
9/2/2024 0:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/2/2024 1:00,varnerrd_to_I10interchange,SB,0,0.14,52.3
9/2/2024 2:00,varnerrd_to_I10interchange,SB,0,0.14,51.9
9/2/2024 3:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/2/2024 4:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/2/2024 5:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/2/2024 6:00,varnerrd_to_I10interchange,SB,0,0.13,55.8
9/2/2024 7:00,varnerrd_to_I10interchange,SB,0,0.14,53.9
9/2/2024 8:00,varnerrd_to_I10interchange,SB,0,0.14,52.4
9/2/2024 9:00,varnerrd_to_I10interchange,SB,0,0.13,55.4
9/2/2024 10:00,varnerrd_to_I10interchange,SB,0,0.14,54.4
9/2/2024 11:00,varnerrd_to_I10interchange,SB,0,0.14,53.3
9/2/2024 12:00,varnerrd_to_I10interchange,SB,0,0.14,54.2
9/2/2024 13:00,varnerrd_to_I10interchange,SB,0,0.13,55.5
9/2/2024 14:00,varnerrd_to_I10interchange,SB,0,0.12,59.8
9/2/2024 15:00,varnerrd_to_I10interchange,SB,0,0.13,58.5
9/2/2024 16:00,varnerrd_to_I10interchange,SB,0,0.13,59.7
9/2/2024 17:00,varnerrd_to_I10interchange,SB,0,0.13,56.3
9/2/2024 18:00,varnerrd_to_I10interchange,SB,0,0.13,57
9/2/2024 19:00,varnerrd_to_I10interchange,SB,0,0.13,58.7
9/2/2024 20:00,varnerrd_to_I10interchange,SB,0,0.13,55.3
9/2/2024 21:00,varnerrd_to_I10interchange,SB,0,0.14,52.5
9/2/2024 22:00,varnerrd_to_I10interchange,SB,0,0.14,55
9/2/2024 23:00,varnerrd_to_I10interchange,SB,0,0.13,57.2
9/3/2024 0:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/3/2024 1:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/3/2024 2:00,varnerrd_to_I10interchange,SB,0,0.14,53.4
9/3/2024 3:00,varnerrd_to_I10interchange,SB,0,0.13,55.5
9/3/2024 4:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/3/2024 5:00,varnerrd_to_I10interchange,SB,0,0.14,54
9/3/2024 6:00,varnerrd_to_I10interchange,SB,0,0.14,53.8
9/3/2024 7:00,varnerrd_to_I10interchange,SB,0,0.13,55.4
9/3/2024 8:00,varnerrd_to_I10interchange,SB,0,0.13,57.7
9/3/2024 9:00,varnerrd_to_I10interchange,SB,0,0.13,58.7
9/3/2024 10:00,varnerrd_to_I10interchange,SB,0.01,0.18,42.2
9/3/2024 11:00,varnerrd_to_I10interchange,SB,0.02,0.2,37.1
9/3/2024 12:00,varnerrd_to_I10interchange,SB,0.03,0.21,35.6
9/3/2024 13:00,varnerrd_to_I10interchange,SB,0.02,0.2,38.5
9/3/2024 14:00,varnerrd_to_I10interchange,SB,0.02,0.19,38.9
9/3/2024 15:00,varnerrd_to_I10interchange,SB,0.01,0.19,39.5
9/3/2024 16:00,varnerrd_to_I10interchange,SB,0.02,0.2,38
9/3/2024 17:00,varnerrd_to_I10interchange,SB,0.02,0.19,39.5
9/3/2024 18:00,varnerrd_to_I10interchange,SB,0.01,0.18,41.1
9/3/2024 19:00,varnerrd_to_I10interchange,SB,0.03,0.22,34.6
9/3/2024 20:00,varnerrd_to_I10interchange,SB,0.02,0.2,37
9/3/2024 21:00,varnerrd_to_I10interchange,SB,0.03,0.21,36.8
9/3/2024 22:00,varnerrd_to_I10interchange,SB,0.01,0.19,40
9/3/2024 23:00,varnerrd_to_I10interchange,SB,0,0.17,43.4
9/4/2024 0:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/4/2024 1:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/4/2024 2:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/4/2024 3:00,varnerrd_to_I10interchange,SB,0,0.17,43.9
9/4/2024 4:00,varnerrd_to_I10interchange,SB,0,0.18,42.3
9/4/2024 5:00,varnerrd_to_I10interchange,SB,0,0.17,43.2
9/4/2024 6:00,varnerrd_to_I10interchange,SB,0,0.17,44.9
9/4/2024 7:00,varnerrd_to_I10interchange,SB,0.01,0.18,41.3
9/4/2024 8:00,varnerrd_to_I10interchange,SB,0.01,0.18,41.8
9/4/2024 9:00,varnerrd_to_I10interchange,SB,0.01,0.19,40.5
9/4/2024 10:00,varnerrd_to_I10interchange,SB,0.03,0.2,37.1
9/4/2024 11:00,varnerrd_to_I10interchange,SB,0.02,0.2,37.2
9/4/2024 12:00,varnerrd_to_I10interchange,SB,0.02,0.2,38.3
9/4/2024 13:00,varnerrd_to_I10interchange,SB,0.04,0.22,33.8
9/4/2024 14:00,varnerrd_to_I10interchange,SB,0.02,0.21,36.2
9/4/2024 15:00,varnerrd_to_I10interchange,SB,0.02,0.2,38.5
9/4/2024 16:00,varnerrd_to_I10interchange,SB,0.03,0.22,34.3
9/4/2024 17:00,varnerrd_to_I10interchange,SB,0.02,0.2,36.9
9/4/2024 18:00,varnerrd_to_I10interchange,SB,0.04,0.22,35.1
9/4/2024 19:00,varnerrd_to_I10interchange,SB,0.02,0.19,39.8
9/4/2024 20:00,varnerrd_to_I10interchange,SB,0.01,0.19,40.2
9/4/2024 21:00,varnerrd_to_I10interchange,SB,0.01,0.19,39
9/4/2024 22:00,varnerrd_to_I10interchange,SB,0.01,0.17,45.8
9/4/2024 23:00,varnerrd_to_I10interchange,SB,0,0.17,45.2
9/5/2024 0:00,varnerrd_to_I10interchange,SB,0,0.17,43.4
9/5/2024 1:00,varnerrd_to_I10interchange,SB,0,0.16,45.6
9/5/2024 2:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/5/2024 3:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/5/2024 4:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/5/2024 5:00,varnerrd_to_I10interchange,SB,0.01,0.18,41.7
9/5/2024 6:00,varnerrd_to_I10interchange,SB,0,0.18,42.7
9/5/2024 7:00,varnerrd_to_I10interchange,SB,0.01,0.18,42.6
9/5/2024 8:00,varnerrd_to_I10interchange,SB,0,0.17,43.3
9/5/2024 9:00,varnerrd_to_I10interchange,SB,0.02,0.19,38.9
9/5/2024 10:00,varnerrd_to_I10interchange,SB,0.02,0.2,37.3
9/5/2024 11:00,varnerrd_to_I10interchange,SB,0.03,0.21,37.2
9/5/2024 12:00,varnerrd_to_I10interchange,SB,0.02,0.21,36.3
9/5/2024 13:00,varnerrd_to_I10interchange,SB,0.02,0.21,36.8
9/5/2024 14:00,varnerrd_to_I10interchange,SB,0.03,0.22,34.5
9/5/2024 15:00,varnerrd_to_I10interchange,SB,0.03,0.21,36.4
9/5/2024 16:00,varnerrd_to_I10interchange,SB,0,0.18,41
9/5/2024 17:00,varnerrd_to_I10interchange,SB,0.04,0.21,36.2
9/5/2024 18:00,varnerrd_to_I10interchange,SB,0.01,0.19,40.4
9/5/2024 19:00,varnerrd_to_I10interchange,SB,0.01,0.18,41.2
9/5/2024 20:00,varnerrd_to_I10interchange,SB,0.04,0.23,32.9
9/5/2024 21:00,varnerrd_to_I10interchange,SB,0.01,0.17,44
9/5/2024 22:00,varnerrd_to_I10interchange,SB,0.01,0.19,40.1
9/5/2024 23:00,varnerrd_to_I10interchange,SB,0,0.17,44.9
9/6/2024 0:00,varnerrd_to_I10interchange,SB,0,0.17,44.4
9/6/2024 1:00,varnerrd_to_I10interchange,SB,0,0.17,44.5
9/6/2024 2:00,varnerrd_to_I10interchange,SB,0,0.17,44
9/6/2024 3:00,varnerrd_to_I10interchange,SB,0,0.17,43.8
9/6/2024 4:00,varnerrd_to_I10interchange,SB,0,0.18,42
9/6/2024 5:00,varnerrd_to_I10interchange,SB,0,0.16,47.6
