local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,delwebb_to_marketpl,SB,0,0.46,53.6
9/1/2024 1:00,delwebb_to_marketpl,SB,0,0.48,51.9
9/1/2024 2:00,delwebb_to_marketpl,SB,0,0.47,52.7
9/1/2024 3:00,delwebb_to_marketpl,SB,0,0.46,54
9/1/2024 4:00,delwebb_to_marketpl,SB,0,0.46,54
9/1/2024 5:00,delwebb_to_marketpl,SB,0,0.46,54
9/1/2024 6:00,delwebb_to_marketpl,SB,0,0.5,50.4
9/1/2024 7:00,delwebb_to_marketpl,SB,0,0.42,59.7
9/1/2024 8:00,delwebb_to_marketpl,SB,0,0.43,57.6
9/1/2024 9:00,delwebb_to_marketpl,SB,0,0.41,60.6
9/1/2024 10:00,delwebb_to_marketpl,SB,0,0.4,62.7
9/1/2024 11:00,delwebb_to_marketpl,SB,0,0.44,57.3
9/1/2024 12:00,delwebb_to_marketpl,SB,0,0.47,53.5
9/1/2024 13:00,delwebb_to_marketpl,SB,0,0.42,58.7
9/1/2024 14:00,delwebb_to_marketpl,SB,0,0.42,59.5
9/1/2024 15:00,delwebb_to_marketpl,SB,0,0.44,56.7
9/1/2024 16:00,delwebb_to_marketpl,SB,0,0.45,55.2
9/1/2024 17:00,delwebb_to_marketpl,SB,0,0.42,59.2
9/1/2024 18:00,delwebb_to_marketpl,SB,0,0.46,54.5
9/1/2024 19:00,delwebb_to_marketpl,SB,0,0.41,60.4
9/1/2024 20:00,delwebb_to_marketpl,SB,0,0.46,54.2
9/1/2024 21:00,delwebb_to_marketpl,SB,0,0.45,55.5
9/1/2024 22:00,delwebb_to_marketpl,SB,0,0.41,60.1
9/1/2024 23:00,delwebb_to_marketpl,SB,0,0.46,54.3
9/2/2024 0:00,delwebb_to_marketpl,SB,0,0.46,54
9/2/2024 1:00,delwebb_to_marketpl,SB,0,0.48,52.3
9/2/2024 2:00,delwebb_to_marketpl,SB,0,0.48,51.9
9/2/2024 3:00,delwebb_to_marketpl,SB,0,0.46,54
9/2/2024 4:00,delwebb_to_marketpl,SB,0,0.46,54
9/2/2024 5:00,delwebb_to_marketpl,SB,0,0.46,54
9/2/2024 6:00,delwebb_to_marketpl,SB,0,0.46,54.6
9/2/2024 7:00,delwebb_to_marketpl,SB,0,0.46,54
9/2/2024 8:00,delwebb_to_marketpl,SB,0,0.45,55.7
9/2/2024 9:00,delwebb_to_marketpl,SB,0,0.45,55.6
9/2/2024 10:00,delwebb_to_marketpl,SB,0,0.45,55.3
9/2/2024 11:00,delwebb_to_marketpl,SB,0,0.47,53.5
9/2/2024 12:00,delwebb_to_marketpl,SB,0,0.46,54.3
9/2/2024 13:00,delwebb_to_marketpl,SB,0,0.44,57.2
