local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,avenue41_to_countryclubdrive,NB,0.19,1.05,30.9
9/1/2024 0:05,avenue41_to_countryclubdrive,NB,0.01,0.87,37
9/1/2024 0:10,avenue41_to_countryclubdrive,NB,0,0.89,36.3
9/1/2024 0:15,avenue41_to_countryclubdrive,NB,0.09,0.96,33.6
9/1/2024 0:20,avenue41_to_countryclubdrive,NB,0.49,1.49,21.7
9/1/2024 0:25,avenue41_to_countryclubdrive,NB,0.42,1.41,22.9
9/1/2024 0:30,avenue41_to_countryclubdrive,NB,0.35,1.31,24.7
9/1/2024 0:35,avenue41_to_countryclubdrive,NB,0.13,0.94,34.2
9/1/2024 0:40,avenue41_to_countryclubdrive,NB,0.1,0.93,34.9
9/1/2024 0:45,avenue41_to_countryclubdrive,NB,0.29,1.11,29.2
9/1/2024 0:50,avenue41_to_countryclubdrive,NB,0.29,1.11,29.2
9/1/2024 0:55,avenue41_to_countryclubdrive,NB,0.04,0.89,36.5
9/1/2024 1:00,avenue41_to_countryclubdrive,NB,0.02,0.88,36.8
9/1/2024 1:05,avenue41_to_countryclubdrive,NB,0.26,1.11,29.2
9/1/2024 1:10,avenue41_to_countryclubdrive,NB,0.28,1.12,28.8
9/1/2024 1:15,avenue41_to_countryclubdrive,NB,0.23,1.06,30.4
9/1/2024 1:20,avenue41_to_countryclubdrive,NB,0.1,0.92,35.3
9/1/2024 1:25,avenue41_to_countryclubdrive,NB,0.02,0.84,38.5
9/1/2024 1:30,avenue41_to_countryclubdrive,NB,0.02,0.85,38.1
9/1/2024 1:35,avenue41_to_countryclubdrive,NB,0.07,0.93,34.6
9/1/2024 1:40,avenue41_to_countryclubdrive,NB,0.02,0.91,35.3
9/1/2024 1:45,avenue41_to_countryclubdrive,NB,0.05,0.87,37.1
9/1/2024 1:50,avenue41_to_countryclubdrive,NB,0.05,0.92,35.3
9/1/2024 1:55,avenue41_to_countryclubdrive,NB,0.04,0.93,34.8
9/1/2024 2:00,avenue41_to_countryclubdrive,NB,0.03,0.94,34.4
9/1/2024 2:05,avenue41_to_countryclubdrive,NB,0.03,0.98,33.1
9/1/2024 2:10,avenue41_to_countryclubdrive,NB,0,0.88,36.6
9/1/2024 2:15,avenue41_to_countryclubdrive,NB,0,0.79,40.8
9/1/2024 2:20,avenue41_to_countryclubdrive,NB,0.27,1.11,29.2
9/1/2024 2:25,avenue41_to_countryclubdrive,NB,0.23,1.08,30
9/1/2024 2:30,avenue41_to_countryclubdrive,NB,0.15,1,32.4
9/1/2024 2:35,avenue41_to_countryclubdrive,NB,0.01,0.72,44.7
9/1/2024 2:40,avenue41_to_countryclubdrive,NB,0,0.68,47.5
9/1/2024 2:45,avenue41_to_countryclubdrive,NB,0,0.75,43
9/1/2024 2:50,avenue41_to_countryclubdrive,NB,0,0.75,43
9/1/2024 2:55,avenue41_to_countryclubdrive,NB,0,0.74,44
9/1/2024 3:00,avenue41_to_countryclubdrive,NB,0,0.73,44
9/1/2024 3:05,avenue41_to_countryclubdrive,NB,0,0.73,44
9/1/2024 3:10,avenue41_to_countryclubdrive,NB,0,0.72,45.1
9/1/2024 3:15,avenue41_to_countryclubdrive,NB,0,0.7,46.2
9/1/2024 3:20,avenue41_to_countryclubdrive,NB,0,0.74,43.6
9/1/2024 3:25,avenue41_to_countryclubdrive,NB,0,0.73,44.2
9/1/2024 3:30,avenue41_to_countryclubdrive,NB,0,0.72,45.1
