local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,harrislane_to_avenue41,SB,0,0.45,47.8
9/1/2024 0:05,harrislane_to_avenue41,SB,0,0.43,50.3
9/1/2024 0:10,harrislane_to_avenue41,SB,0,0.41,52.6
9/1/2024 0:15,harrislane_to_avenue41,SB,0,0.53,40.8
9/1/2024 0:20,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 0:25,harrislane_to_avenue41,SB,0,0.44,49.4
9/1/2024 0:30,harrislane_to_avenue41,SB,0,0.44,49.4
9/1/2024 0:35,harrislane_to_avenue41,SB,0,0.44,49
9/1/2024 0:40,harrislane_to_avenue41,SB,0,0.51,42.4
9/1/2024 0:45,harrislane_to_avenue41,SB,0,0.57,38
9/1/2024 0:50,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 0:55,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 1:00,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 1:05,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 1:10,harrislane_to_avenue41,SB,0,0.43,50
9/1/2024 1:15,harrislane_to_avenue41,SB,0,0.55,39.1
9/1/2024 1:20,harrislane_to_avenue41,SB,0,0.53,40.7
9/1/2024 1:25,harrislane_to_avenue41,SB,0,0.44,49.5
9/1/2024 1:30,harrislane_to_avenue41,SB,0,0.43,50
9/1/2024 1:35,harrislane_to_avenue41,SB,0,0.43,50
9/1/2024 1:40,harrislane_to_avenue41,SB,0,0.44,49.2
9/1/2024 1:45,harrislane_to_avenue41,SB,0,0.45,48
9/1/2024 1:50,harrislane_to_avenue41,SB,0,0.45,48.2
9/1/2024 1:55,harrislane_to_avenue41,SB,0,0.47,45.8
9/1/2024 2:00,harrislane_to_avenue41,SB,0,0.46,46.8
9/1/2024 2:05,harrislane_to_avenue41,SB,0,0.53,40.9
9/1/2024 2:10,harrislane_to_avenue41,SB,0,0.49,44
9/1/2024 2:15,harrislane_to_avenue41,SB,0,0.55,38.9
9/1/2024 2:20,harrislane_to_avenue41,SB,0.18,0.8,27
9/1/2024 2:25,harrislane_to_avenue41,SB,0.03,0.64,33.6
9/1/2024 2:30,harrislane_to_avenue41,SB,0.03,0.64,33.6
9/1/2024 2:35,harrislane_to_avenue41,SB,0.06,0.67,32.2
9/1/2024 2:40,harrislane_to_avenue41,SB,0.04,0.63,34.3
9/1/2024 2:45,harrislane_to_avenue41,SB,0,0.48,44.6
9/1/2024 2:50,harrislane_to_avenue41,SB,0,0.48,44.8
9/1/2024 2:55,harrislane_to_avenue41,SB,0.03,0.64,33.6
9/1/2024 3:00,harrislane_to_avenue41,SB,0,0.55,39.6
9/1/2024 3:05,harrislane_to_avenue41,SB,0.01,0.61,35.6
9/1/2024 3:10,harrislane_to_avenue41,SB,0.01,0.61,35.3
9/1/2024 3:15,harrislane_to_avenue41,SB,0,0.61,35.6
9/1/2024 3:20,harrislane_to_avenue41,SB,0,0.6,35.9
9/1/2024 3:25,harrislane_to_avenue41,SB,0,0.54,39.9
9/1/2024 3:30,harrislane_to_avenue41,SB,0.01,0.56,38.2
9/1/2024 3:35,harrislane_to_avenue41,SB,0,0.53,41.1
9/1/2024 3:40,harrislane_to_avenue41,SB,0,0.48,44.7
9/1/2024 3:45,harrislane_to_avenue41,SB,0,0.46,47
9/1/2024 3:50,harrislane_to_avenue41,SB,0,0.47,46
9/1/2024 3:55,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 4:00,harrislane_to_avenue41,SB,0,0.48,45
9/1/2024 4:05,harrislane_to_avenue41,SB,0,0.58,37
9/1/2024 4:10,harrislane_to_avenue41,SB,0,0.57,37.8
9/1/2024 4:15,harrislane_to_avenue41,SB,0,0.57,38
9/1/2024 4:20,harrislane_to_avenue41,SB,0,0.5,43.5
9/1/2024 4:25,harrislane_to_avenue41,SB,0,0.47,45.9
9/1/2024 4:30,harrislane_to_avenue41,SB,0,0.48,44.9
9/1/2024 4:35,harrislane_to_avenue41,SB,0,0.51,42.7
9/1/2024 4:40,harrislane_to_avenue41,SB,0,0.5,43
9/1/2024 4:45,harrislane_to_avenue41,SB,0,0.45,48.4
9/1/2024 4:50,harrislane_to_avenue41,SB,0,0.44,48.5
9/1/2024 4:55,harrislane_to_avenue41,SB,0,0.44,48.7
9/1/2024 5:00,harrislane_to_avenue41,SB,0,0.43,50.2
9/1/2024 5:05,harrislane_to_avenue41,SB,0,0.43,50.8
9/1/2024 5:10,harrislane_to_avenue41,SB,0,0.42,51.3
9/1/2024 5:15,harrislane_to_avenue41,SB,0,0.42,51.9
9/1/2024 5:20,harrislane_to_avenue41,SB,0,0.42,51.9
9/1/2024 5:25,harrislane_to_avenue41,SB,0,0.44,49.2
9/1/2024 5:30,harrislane_to_avenue41,SB,0,0.47,45.9
9/1/2024 5:35,harrislane_to_avenue41,SB,0,0.49,44.5
9/1/2024 5:40,harrislane_to_avenue41,SB,0,0.49,44.2
9/1/2024 5:45,harrislane_to_avenue41,SB,0,0.49,44
9/1/2024 5:50,harrislane_to_avenue41,SB,0,0.43,50.3
9/1/2024 5:55,harrislane_to_avenue41,SB,0,0.41,53
9/1/2024 6:00,harrislane_to_avenue41,SB,0,0.46,47.4
9/1/2024 6:05,harrislane_to_avenue41,SB,0,0.49,44.1
9/1/2024 6:10,harrislane_to_avenue41,SB,0,0.49,43.7
9/1/2024 6:15,harrislane_to_avenue41,SB,0,0.47,45.5
9/1/2024 6:20,harrislane_to_avenue41,SB,0,0.47,46
9/1/2024 6:25,harrislane_to_avenue41,SB,0,0.47,46.4
9/1/2024 6:30,harrislane_to_avenue41,SB,0,0.5,43
9/1/2024 6:35,harrislane_to_avenue41,SB,0,0.5,43.6
9/1/2024 6:40,harrislane_to_avenue41,SB,0,0.47,46.2
9/1/2024 6:45,harrislane_to_avenue41,SB,0,0.53,41
9/1/2024 6:50,harrislane_to_avenue41,SB,0,0.51,42.4
9/1/2024 6:55,harrislane_to_avenue41,SB,0,0.46,47.4
9/1/2024 7:00,harrislane_to_avenue41,SB,0,0.45,47.9
9/1/2024 7:05,harrislane_to_avenue41,SB,0,0.59,36.5
9/1/2024 7:10,harrislane_to_avenue41,SB,0,0.58,37.5
9/1/2024 7:15,harrislane_to_avenue41,SB,0,0.47,46
9/1/2024 7:20,harrislane_to_avenue41,SB,0,0.46,46.9
9/1/2024 7:25,harrislane_to_avenue41,SB,0,0.46,46.9
9/1/2024 7:30,harrislane_to_avenue41,SB,0.01,0.48,45.1
9/1/2024 7:35,harrislane_to_avenue41,SB,0.02,0.47,45.7
9/1/2024 7:40,harrislane_to_avenue41,SB,0.01,0.44,49
9/1/2024 7:45,harrislane_to_avenue41,SB,0,0.46,46.9
9/1/2024 7:50,harrislane_to_avenue41,SB,0,0.46,46.8
9/1/2024 7:55,harrislane_to_avenue41,SB,0,0.46,47
9/1/2024 8:00,harrislane_to_avenue41,SB,0,0.47,45.9
9/1/2024 8:05,harrislane_to_avenue41,SB,0,0.44,48.7
9/1/2024 8:10,harrislane_to_avenue41,SB,0,0.42,51.4
9/1/2024 8:15,harrislane_to_avenue41,SB,0,0.48,44.5
9/1/2024 8:20,harrislane_to_avenue41,SB,0,0.5,43.4
9/1/2024 8:25,harrislane_to_avenue41,SB,0,0.5,43.2
