local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,countryclubdrive_to_harrislane,SB,0,0.17,44.3
9/1/2024 0:05,countryclubdrive_to_harrislane,SB,0,0.17,45.5
9/1/2024 0:10,countryclubdrive_to_harrislane,SB,0,0.15,49.7
9/1/2024 0:15,countryclubdrive_to_harrislane,SB,,0.26,29.9
9/1/2024 0:20,countryclubdrive_to_harrislane,SB,0,0.19,40.6
9/1/2024 0:25,countryclubdrive_to_harrislane,SB,0,0.16,49
9/1/2024 0:30,countryclubdrive_to_harrislane,SB,0,0.18,41.8
9/1/2024 0:35,countryclubdrive_to_harrislane,SB,0,0.2,38.5
9/1/2024 0:40,countryclubdrive_to_harrislane,SB,0,0.19,40
9/1/2024 0:45,countryclubdrive_to_harrislane,SB,0,0.2,38
9/1/2024 0:50,countryclubdrive_to_harrislane,SB,0,0.17,45
9/1/2024 0:55,countryclubdrive_to_harrislane,SB,0,0.17,45
9/1/2024 1:00,countryclubdrive_to_harrislane,SB,0,0.17,45
9/1/2024 1:05,countryclubdrive_to_harrislane,SB,0,0.17,45
9/1/2024 1:10,countryclubdrive_to_harrislane,SB,0,0.17,45.5
9/1/2024 1:15,countryclubdrive_to_harrislane,SB,0.03,0.24,31.4
9/1/2024 1:20,countryclubdrive_to_harrislane,SB,0,0.2,37.6
9/1/2024 1:25,countryclubdrive_to_harrislane,SB,0,0.16,47.7
9/1/2024 1:30,countryclubdrive_to_harrislane,SB,0,0.15,50
9/1/2024 1:35,countryclubdrive_to_harrislane,SB,0,0.15,50
9/1/2024 1:40,countryclubdrive_to_harrislane,SB,0,0.19,39.3
9/1/2024 1:45,countryclubdrive_to_harrislane,SB,0,0.19,39.2
9/1/2024 1:50,countryclubdrive_to_harrislane,SB,0,0.16,48.2
9/1/2024 1:55,countryclubdrive_to_harrislane,SB,0,0.19,41
9/1/2024 2:00,countryclubdrive_to_harrislane,SB,0,0.19,41
9/1/2024 2:05,countryclubdrive_to_harrislane,SB,0,0.2,37.2
9/1/2024 2:10,countryclubdrive_to_harrislane,SB,0,0.2,38.3
9/1/2024 2:15,countryclubdrive_to_harrislane,SB,0.05,0.25,30
9/1/2024 2:20,countryclubdrive_to_harrislane,SB,0.07,0.29,26.4
9/1/2024 2:25,countryclubdrive_to_harrislane,SB,0.04,0.26,29.1
9/1/2024 2:30,countryclubdrive_to_harrislane,SB,0.01,0.23,33.3
9/1/2024 2:35,countryclubdrive_to_harrislane,SB,0,0.22,34.4
9/1/2024 2:40,countryclubdrive_to_harrislane,SB,0,0.21,37.2
9/1/2024 2:45,countryclubdrive_to_harrislane,SB,0,0.19,39.7
9/1/2024 2:50,countryclubdrive_to_harrislane,SB,0,0.18,42
9/1/2024 2:55,countryclubdrive_to_harrislane,SB,0,0.2,38.4
9/1/2024 3:00,countryclubdrive_to_harrislane,SB,0,0.18,43
9/1/2024 3:05,countryclubdrive_to_harrislane,SB,0,0.18,41.4
9/1/2024 3:10,countryclubdrive_to_harrislane,SB,0,0.21,37
9/1/2024 3:15,countryclubdrive_to_harrislane,SB,0,0.2,38.2
9/1/2024 3:20,countryclubdrive_to_harrislane,SB,0,0.2,39
9/1/2024 3:25,countryclubdrive_to_harrislane,SB,0,0.18,43.5
