local_datetime,average_delay,average_traveltime,average_speed,corridor_id,direction,corridor_name
9/1/2024 0:00,0.67,1.72,24.2,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 1:00,0.16,1.2,34.9,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 2:00,0.03,0.99,42,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 3:00,0,0.93,44.4,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 4:00,0.06,1.04,40.6,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 5:00,0.14,1.15,36.8,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 6:00,0.16,1.23,33.7,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 7:00,0.45,1.5,28.4,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 8:00,0.43,1.53,27.5,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 9:00,0.46,1.57,27.2,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 10:00,0.49,1.61,26.7,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 11:00,0.39,1.53,27.8,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 12:00,0.55,1.69,25.3,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 13:00,0.49,1.62,26.4,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 14:00,0.36,1.49,28.2,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 15:00,0.37,1.49,27.9,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 16:00,0.44,1.55,27.2,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 17:00,0.34,1.46,28.7,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 18:00,0.34,1.46,28.9,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 19:00,0.6,1.74,24.9,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 20:00,0.82,1.96,21.4,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 21:00,0.57,1.66,25.7,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 22:00,0.37,1.45,29.7,adamsst_to_washingtonst,WB,Highway 111
9/1/2024 23:00,0.52,1.58,28.6,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 0:00,0.12,1.14,37.8,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 1:00,0.16,1.12,38.3,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 2:00,0.04,0.99,42,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 3:00,0.03,0.99,41.7,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 4:00,0.13,1.22,34.3,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 5:00,0.05,1.04,40.4,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 6:00,0.36,1.47,28.8,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 7:00,0.36,1.41,29.6,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 8:00,0.43,1.49,28.1,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 9:00,0.41,1.53,27.4,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 10:00,0.42,1.55,27.5,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 11:00,0.47,1.6,26.2,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 12:00,0.34,1.47,28.5,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 13:00,0.34,1.46,28.4,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 14:00,0.46,1.59,26.9,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 15:00,0.49,1.63,26.2,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 16:00,0.5,1.61,26.9,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 17:00,0.31,1.42,29.6,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 18:00,0.51,1.62,26,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 19:00,0.41,1.53,27.5,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 20:00,0.57,1.7,25.3,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 21:00,0.47,1.55,27.4,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 22:00,0.23,1.28,33.1,adamsst_to_washingtonst,WB,Highway 111
9/2/2024 23:00,0.17,1.18,36,adamsst_to_washingtonst,WB,Highway 111
