local_datetime,average_delay,average_traveltime,average_speed,corridor_id,direction,corridor_name
9/1/2024 0:00,0.05,1.02,29,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 1:00,0,0.88,33.4,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 2:00,0.06,1,30,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 3:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 4:00,0,0.89,33.1,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 5:00,0.02,0.93,31.7,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 6:00,0.02,0.93,31.7,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 7:00,0.21,1.17,25.9,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 8:00,0.16,1.1,28.3,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 9:00,0.37,1.36,22.5,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 10:00,0.57,1.57,19.6,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 11:00,0.52,1.52,19.7,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 12:00,0.39,1.42,21.6,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 13:00,0.18,1.17,25.3,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 14:00,0.37,1.37,23.1,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 15:00,0.38,1.39,22.1,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 16:00,0.58,1.59,18.8,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 17:00,0.11,1.09,27.5,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 18:00,0.17,1.16,25.5,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 19:00,0.21,1.21,24.6,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 20:00,0.05,1.02,29,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 21:00,0.06,1.05,28.2,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 22:00,0.16,1.08,27.8,adamsst_to_washingtonst,WB,Avenue47
9/1/2024 23:00,0.08,0.97,30.9,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 0:00,0.07,0.95,31.3,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 1:00,0.03,0.9,32.7,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 3:00,0.01,0.91,32.3,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 4:00,0.01,0.89,33.2,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 5:00,0.01,0.9,32.8,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 6:00,0.05,0.99,30,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 7:00,0.16,1.1,27.8,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 8:00,0.01,0.94,31.6,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 9:00,0.18,1.16,26.2,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 10:00,0.33,1.34,22.4,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 11:00,0.12,1.11,26.6,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 12:00,0.15,1.17,25.4,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 13:00,0.22,1.24,23.9,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 14:00,0.43,1.43,20.8,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 15:00,0.52,1.55,19.8,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 16:00,0.37,1.38,21.6,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 17:00,0.14,1.11,27,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 18:00,0.07,1.03,28.6,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 19:00,0.39,1.37,21.9,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 20:00,0.38,1.39,21.9,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 21:00,0.06,1.02,29.1,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 22:00,0.03,0.94,31.4,adamsst_to_washingtonst,WB,Avenue47
9/2/2024 23:00,0.13,1.04,29.2,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 0:00,0.03,0.91,32.5,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 1:00,0.03,0.91,32.7,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 3:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 4:00,0,0.86,34.1,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 5:00,0,0.85,34.6,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 6:00,0.05,0.93,31.9,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 7:00,0.12,1.02,30.3,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 8:00,0.37,1.43,20.7,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 9:00,0.36,1.36,22,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 10:00,0.38,1.31,23.1,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 11:00,0.58,1.61,18.5,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 12:00,0.54,1.56,19,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 13:00,0.31,1.29,23.3,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 14:00,0.35,1.35,22.1,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 15:00,0.25,1.22,24.7,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 16:00,0.25,1.23,24.5,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 17:00,0.22,1.15,26.2,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 18:00,0.57,1.59,18.8,adamsst_to_washingtonst,WB,Avenue47
9/3/2024 19:00,0.21,1.21,25.1,adamsst_to_washingtonst,WB,Avenue47
