local_datetime,corridor_id,segment_id,direction,metric,Strength,Firsts,Lasts,Minimum,Maximum
9/6/2024 11:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,TravelTime,3.68,3.7,3.65,3.32,3.97
9/6/2024 11:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,Speed,31.7,31.56,32.05,35.3,29.45
9/6/2024 11:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,TravelTime,3.55,3.47,3.48,3.13,3.95
9/6/2024 11:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,Speed,32.89,33.53,33.46,37.21,29.54
9/6/2024 12:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,TravelTime,3.68,3.73,3.65,3.33,4
9/6/2024 12:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,Speed,31.65,31.31,31.97,35.08,29.25
9/6/2024 12:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,TravelTime,3.55,3.48,3.48,3.13,3.95
9/6/2024 12:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,Speed,32.88,33.53,33.46,37.2,29.53
9/6/2024 13:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,TravelTime,3.73,3.82,3.73,3.43,4.05
9/6/2024 13:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,Speed,31.23,30.58,31.25,33.98,28.82
9/6/2024 13:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,TravelTime,3.53,3.48,3.47,3.1,3.93
9/6/2024 13:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,Speed,33.01,33.52,33.58,37.48,29.67
9/6/2024 14:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,TravelTime,3.72,3.77,3.75,3.35,4.02
9/6/2024 14:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,Speed,31.47,31.08,31.15,34.83,29.03
9/6/2024 14:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,TravelTime,3.48,3.43,3.48,3.08,3.92
9/6/2024 14:00,Highway 111,JermaineGibson_to_CanyonPlazaWest,WB,Speed,33.52,33.94,33.39,37.72,29.82
9/6/2024 15:00,Highway 111,CanyonPlazaWest_to_JermaineGibson,EB,TravelTime,3.67,3.77,3.68,3.25,4.1
