local_datetime,average_delay,average_traveltime,average_speed,corridor_id,direction,corridor_name
9/1/2024 0:00,0,1.18,29,avenue48_to_highway111,NB,Adams St
9/1/2024 1:00,0,1.2,28.3,avenue48_to_highway111,NB,Adams St
9/1/2024 2:00,0.16,1.51,23.2,avenue48_to_highway111,NB,Adams St
9/1/2024 3:00,0,1.32,25.6,avenue48_to_highway111,NB,Adams St
9/1/2024 4:00,0.01,1.2,28.2,avenue48_to_highway111,NB,Adams St
9/1/2024 5:00,0.07,1.25,27.8,avenue48_to_highway111,NB,Adams St
9/1/2024 6:00,0.08,1.15,31.3,avenue48_to_highway111,NB,Adams St
9/1/2024 7:00,0.04,1.12,30.1,avenue48_to_highway111,NB,Adams St
9/1/2024 8:00,0.4,1.5,23.4,avenue48_to_highway111,NB,Adams St
9/1/2024 9:00,1.25,2.59,13.8,avenue48_to_highway111,NB,Adams St
9/1/2024 10:00,0.63,1.9,18.3,avenue48_to_highway111,NB,Adams St
9/1/2024 11:00,0.94,2.26,15.3,avenue48_to_highway111,NB,Adams St
9/1/2024 12:00,0.98,2.29,15.2,avenue48_to_highway111,NB,Adams St
9/1/2024 13:00,0.79,2.03,17.7,avenue48_to_highway111,NB,Adams St
9/1/2024 14:00,0.96,2.23,16.1,avenue48_to_highway111,NB,Adams St
9/1/2024 15:00,0.67,1.94,17.7,avenue48_to_highway111,NB,Adams St
9/1/2024 16:00,1.25,2.54,14.5,avenue48_to_highway111,NB,Adams St
9/1/2024 17:00,1.01,2.27,16,avenue48_to_highway111,NB,Adams St
9/1/2024 18:00,0.84,2.13,16.5,avenue48_to_highway111,NB,Adams St
9/1/2024 19:00,0.84,2.12,17.2,avenue48_to_highway111,NB,Adams St
9/1/2024 20:00,0.62,1.96,17.9,avenue48_to_highway111,NB,Adams St
9/1/2024 21:00,0.25,1.42,23.9,avenue48_to_highway111,NB,Adams St
9/1/2024 22:00,0.26,1.49,23.1,avenue48_to_highway111,NB,Adams St
9/1/2024 23:00,0.03,1.18,29,avenue48_to_highway111,NB,Adams St
9/2/2024 0:00,0.06,1.26,27.1,avenue48_to_highway111,NB,Adams St
9/2/2024 1:00,0.11,1.41,24.4,avenue48_to_highway111,NB,Adams St
9/2/2024 2:00,0,1.28,26.5,avenue48_to_highway111,NB,Adams St
9/2/2024 3:00,0.06,1.34,25.2,avenue48_to_highway111,NB,Adams St
9/2/2024 4:00,0,1.12,30.4,avenue48_to_highway111,NB,Adams St
9/2/2024 5:00,0,1.05,32.5,avenue48_to_highway111,NB,Adams St
9/2/2024 6:00,0.29,1.55,22.9,avenue48_to_highway111,NB,Adams St
9/2/2024 7:00,0.52,1.7,20.5,avenue48_to_highway111,NB,Adams St
9/2/2024 8:00,0.38,1.57,22.4,avenue48_to_highway111,NB,Adams St
9/2/2024 9:00,0.73,2.01,17.2,avenue48_to_highway111,NB,Adams St
9/2/2024 10:00,0.58,1.84,18.4,avenue48_to_highway111,NB,Adams St
