local_datetime,corridor_id,segment_id,direction,metric,Strength,Firsts,Lasts,Minimum,Maximum,distance
9/26/2024 17:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,6.02,5.98,6.07,4.75,7.52,3.14
9/26/2024 17:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,31.28,31.47,30.98,39.61,25.05,3.14
9/26/2024 17:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.6,6.62,6.48,5.1,7.83,3.14
9/26/2024 17:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,28.55,28.46,29.09,36.89,24.04,3.14
9/26/2024 18:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.75,5.92,5.88,4.67,7.52,3.14
9/26/2024 18:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,32.69,31.82,31.96,40.33,25.04,3.14
9/26/2024 18:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.68,6.63,6.82,5.22,8.15,3.14
9/26/2024 18:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,28.21,28.37,27.62,36.09,23.1,3.14
9/26/2024 19:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.68,5.72,5.72,4.53,7.33,3.14
9/26/2024 19:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,33.14,32.96,32.87,41.53,25.65,3.14
9/26/2024 19:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.38,6.43,6.57,5.18,7.8,3.14
9/26/2024 19:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,29.5,29.27,28.67,36.38,24.15,3.14
9/26/2024 20:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,6.23,5.93,6.32,4.65,7.63,3.14
9/26/2024 20:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,30.17,31.7,29.82,40.5,24.67,3.14
9/26/2024 20:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.22,6.35,6.32,5.05,7.57,3.14
9/26/2024 20:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,30.28,29.66,29.84,37.34,24.9,3.14
9/26/2024 21:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,6.12,5.9,6.22,4.65,7.42,3.14
9/26/2024 21:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,30.76,31.86,30.26,40.46,25.4,3.14
9/26/2024 21:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.15,6.18,6.22,5.1,7.17,3.14
9/26/2024 21:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,30.65,30.45,30.32,36.96,26.29,3.14
9/26/2024 22:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.85,5.63,5.8,4.58,7.12,3.14
9/26/2024 22:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,32.14,33.41,32.48,40.97,26.45,3.14
9/26/2024 22:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.03,6.08,6,4.98,7.07,3.14
9/26/2024 22:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,31.22,31,31.35,37.84,26.66,3.14
9/26/2024 23:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.6,5.52,5.68,4.43,6.9,3.14
9/26/2024 23:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,33.59,34.12,33.12,42.47,27.24,3.14
9/26/2024 23:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.82,5.75,5.75,4.83,6.77,3.14
9/26/2024 23:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,32.34,32.77,32.77,38.9,27.81,3.14
9/27/2024 0:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.52,5.43,5.55,4.4,6.6,3.14
9/27/2024 0:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,34.08,34.63,33.85,42.81,28.54,3.14
9/27/2024 0:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.78,5.62,5.7,4.87,6.65,3.14
9/27/2024 0:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,32.55,33.54,33.09,38.68,28.34,3.14
9/27/2024 1:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.43,5.37,5.5,4.43,6.52,3.14
9/27/2024 1:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,34.67,35.04,34.25,42.43,28.89,3.14
9/27/2024 1:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.68,5.57,5.57,4.85,6.58,3.14
9/27/2024 1:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,33.14,33.88,33.82,38.77,28.61,3.14
9/27/2024 2:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.28,5.4,5.37,4.4,6.53,3.14
9/27/2024 2:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,35.6,34.88,35.02,42.74,28.77,3.14
9/27/2024 2:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.62,5.53,5.52,4.87,6.57,3.14
9/27/2024 2:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,33.49,34.01,34.18,38.75,28.68,3.14
9/27/2024 3:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.2,5.33,5.22,4.33,6.53,3.14
9/27/2024 3:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,36.15,35.23,36.04,43.38,28.79,3.14
9/27/2024 3:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.57,5.5,5.47,4.82,6.43,3.14
9/27/2024 3:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,33.85,34.26,34.48,39.03,29.28,3.14
9/27/2024 4:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.17,5.33,5.17,4.27,6.35,3.14
9/27/2024 4:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,36.45,35.23,36.36,44.09,29.62,3.14
9/27/2024 4:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.45,5.38,5.4,4.75,6.5,3.14
9/27/2024 4:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,34.55,35.03,34.93,39.69,29,3.14
9/27/2024 5:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.08,5.1,5.03,4.12,6.13,3.14
9/27/2024 5:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,37.06,36.92,37.37,45.63,30.68,3.14
9/27/2024 5:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.38,5.43,5.37,4.68,6.43,3.14
9/27/2024 5:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,34.98,34.64,35.11,40.2,29.26,3.14
9/27/2024 6:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,4.83,4.72,4.85,3.88,5.62,3.14
9/27/2024 6:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,38.96,39.92,38.81,48.51,33.5,3.14
9/27/2024 6:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.47,5.57,5.38,4.62,6.32,3.14
9/27/2024 6:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,34.42,33.84,35,40.74,29.8,3.14
9/27/2024 7:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,4.63,4.57,4.62,3.83,5.37,3.14
9/27/2024 7:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,40.53,41.14,40.75,49.05,35.11,3.14
9/27/2024 7:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.45,5.5,5.4,4.63,6.48,3.14
9/27/2024 7:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,34.58,34.25,34.86,40.67,29.08,3.14
9/27/2024 8:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,4.9,4.88,4.93,4.18,5.73,3.14
9/27/2024 8:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,38.38,38.56,38.14,44.89,32.78,3.14
9/27/2024 8:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,5.78,5.87,5.72,4.68,7,3.14
9/27/2024 8:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,32.59,32.07,32.98,40.15,26.92,3.14
9/27/2024 9:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.3,5.17,5.32,4.35,6.45,3.14
9/27/2024 9:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,35.5,36.38,35.43,43.25,29.2,3.14
9/27/2024 9:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.05,6.02,6.15,4.82,7.33,3.14
9/27/2024 9:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,31.14,31.27,30.6,39.04,25.67,3.14
9/27/2024 10:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,5.85,5.8,5.93,4.68,7.2,3.14
9/27/2024 10:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,32.13,32.42,31.7,40.15,26.13,3.14
9/27/2024 10:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,6.42,6.55,6.53,5.13,7.83,3.14
9/27/2024 10:00,Highway 111,ParkviewDrive_to_CookStreet,EB,Speed,29.34,28.79,28.84,36.73,24.06,3.14
9/27/2024 11:00,Highway 111,CookStreet_to_ParkviewDrive,WB,TravelTime,6.03,6.05,6.12,4.72,7.47,3.14
9/27/2024 11:00,Highway 111,CookStreet_to_ParkviewDrive,WB,Speed,31.18,31.07,30.73,39.93,25.22,3.14
9/27/2024 11:00,Highway 111,ParkviewDrive_to_CookStreet,EB,TravelTime,7.2,7.3,7.1,5.55,8.6,3.14
