local_datetime,corridor_id,segment_id,direction,metric,Strength,Firsts,Lasts,Minimum,Maximum,distance
9/2/2024 0:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.44,48.55,48.87,60.11,42.79,3.61
9/2/2024 0:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.47,4.45,4.42,3.6,5.05,3.61
9/2/2024 1:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.39,48.55,48.78,60.03,42.75,3.61
9/2/2024 1:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.47,4.45,4.43,3.6,5.07,3.61
9/2/2024 1:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,null ,null ,null ,null ,null ,3.61
9/2/2024 1:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,0,0,0,0,0,3.61
9/2/2024 2:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.34,48.57,48.74,60.06,42.89,3.61
9/2/2024 2:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.47,4.45,4.43,3.6,5.05,3.61
9/2/2024 2:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,null ,null ,null ,null ,null ,3.61
9/2/2024 2:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,0,0,0,0,0,3.61
9/2/2024 3:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.2,48.53,48.78,59.91,43.47,3.61
9/2/2024 3:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.48,4.45,4.43,3.6,4.98,3.61
9/2/2024 3:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,null ,null ,null ,null ,null ,3.61
9/2/2024 3:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,0,0,0,0,0,3.61
9/2/2024 4:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.21,48.55,48.5,59.53,43.73,3.61
9/2/2024 4:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.48,4.45,4.45,3.63,4.95,3.61
9/2/2024 4:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,90,90,90,90,90,3.61
9/2/2024 4:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,0.92,0.9,0.95,0.73,1.1,3.61
9/2/2024 5:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.44,48.83,48.54,59.55,43.89,3.61
9/2/2024 5:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.47,4.43,4.45,3.63,4.93,3.61
9/2/2024 5:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,46.5,47.65,45.25,57.38,39.39,3.61
9/2/2024 5:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,4.65,4.53,4.77,3.77,5.48,3.61
9/2/2024 6:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.42,48.95,48.76,59.8,43.58,3.61
9/2/2024 6:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.47,4.42,4.43,3.62,4.97,3.61
9/2/2024 6:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,46.7,48.06,45.04,56.77,38.93,3.61
9/2/2024 6:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,4.62,4.5,4.8,3.8,5.55,3.61
9/2/2024 7:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,48.08,48.83,48.79,59.69,43.94,3.61
9/2/2024 7:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.5,4.43,4.43,3.62,4.92,3.61
9/2/2024 7:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,46.61,48.02,44.67,55.9,38.66,3.61
9/2/2024 7:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,4.63,4.5,4.83,3.87,5.58,3.61
9/2/2024 8:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,47.63,48.09,48.47,58.84,43.13,3.61
9/2/2024 8:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.53,4.5,4.47,3.67,5.02,3.61
9/2/2024 8:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,45.75,47.66,43.31,55.13,38.5,3.61
9/2/2024 8:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,4.72,4.53,4.98,3.92,5.62,3.61
9/2/2024 9:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,46.52,46.29,48.04,58.71,42.69,3.61
9/2/2024 9:00,Highway 111,CookStreet_to_WashingtonStreet,EB,TravelTime,4.65,4.67,4.5,3.68,5.07,3.61
9/2/2024 9:00,Highway 111,WashingtonStreet_to_CookStreet,WB,Speed,45.83,47.19,44.02,55.75,38.51,3.61
9/2/2024 9:00,Highway 111,WashingtonStreet_to_CookStreet,WB,TravelTime,4.72,4.58,4.9,3.87,5.62,3.61
9/2/2024 10:00,Highway 111,CookStreet_to_WashingtonStreet,EB,Speed,45.94,46.09,47.87,57.21,42.59,3.61
