local_datetime,corridor_id,segment_id,direction,metric,Strength,Firsts,Lasts,Minimum,Maximum,distance
9/2/2024 0:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,22.17,22.34,23.95,28.38,19.67,1.54
9/2/2024 0:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.23,4.18,4.87,3.35,5.5,1.54
9/2/2024 1:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.85,22.12,23.56,28.21,19.89,1.54
9/2/2024 1:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.15,4.13,4.87,3.37,5.63,1.54
9/2/2024 2:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.33,21.61,23.34,27.23,19.46,1.54
9/2/2024 2:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.17,4.27,5.3,3.43,5.87,1.54
9/2/2024 3:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.23,21.5,23.17,26.92,19.64,1.54
9/2/2024 3:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.2,4.28,4.95,3.5,5.7,1.54
9/2/2024 4:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.62,21.75,23.41,27.58,19.86,1.54
9/2/2024 4:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.2,4.28,4.88,3.52,5.52,1.54
9/2/2024 5:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.6,21.66,23.2,27.42,19.28,1.54
9/2/2024 5:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.22,4.32,4.85,3.58,5.43,1.54
9/2/2024 6:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.13,21.86,21.68,27.49,18.45,1.54
9/2/2024 6:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.33,4.45,4.68,3.67,5.38,1.54
9/2/2024 7:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,20.6,21.11,21.68,27.3,18.32,1.54
9/2/2024 7:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.35,4.48,4.68,3.73,5.37,1.54
9/2/2024 8:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,21.8,22.44,21.8,28.13,18.82,1.54
9/2/2024 8:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.27,4.35,4.45,3.75,5.13,1.54
9/2/2024 9:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,22.06,22,21.74,27.06,18.74,1.54
9/2/2024 9:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.23,4.3,4.27,3.67,5,1.54
9/2/2024 10:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,22.67,22.08,22.16,28.26,18.63,1.54
9/2/2024 10:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.17,4.18,4.17,3.62,5,1.54
9/2/2024 11:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,23.88,23.13,24.28,29.48,19.78,1.54
9/2/2024 11:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.08,4.1,4,3.52,4.72,1.54
9/2/2024 12:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,24.12,23.93,23.54,29.27,20.21,1.54
9/2/2024 12:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.15,4.17,4,3.55,4.68,1.54
9/2/2024 13:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,Speed,23.83,25,23.15,28.85,20.34,1.54
9/2/2024 13:00,Highway 111,MonroeStreet_to_IndioBlvd,EB,TravelTime,4.32,4.37,4.23,3.68,5.07,1.54
