local_datetime,corridor_id,segment_id,direction,metric,Strength,Firsts,Lasts,Minimum,Maximum,distance
9/2/2024 1:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 2:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 3:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 4:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 5:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 6:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 7:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 8:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,0,0,0,0,0,3.89
9/2/2024 9:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,6.58,6.58,6.63,5.35,7.78,3.89
9/2/2024 10:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.6,12.47,12.53,10.13,14.83,3.89
9/2/2024 11:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.85,13,12.83,10.4,15.28,3.89
9/2/2024 12:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.73,13,12.73,10.37,15.32,3.89
9/2/2024 13:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.7,12.88,12.67,10.23,15.15,3.89
9/2/2024 14:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.75,12.92,12.7,10.23,14.97,3.89
9/2/2024 15:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.85,12.92,12.73,10.4,15.1,3.89
9/2/2024 16:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,12.83,12.88,12.73,10.43,14.83,3.89
9/2/2024 17:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.87,7.92,7.92,6,9.48,3.89
9/2/2024 18:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.55,7.47,7.53,5.72,8.95,3.89
9/2/2024 19:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.25,7.32,7.33,5.6,8.48,3.89
9/2/2024 20:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.23,7.4,7.42,5.6,8.78,3.89
9/2/2024 21:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.13,7.3,7.28,5.58,8.65,3.89
9/2/2024 22:00,Highway 111,WashingtonStreet_to_MonroeStreet,EB,TravelTime,7.12,7.25,7.35,5.55,8.6,3.89
