local_datetime,segment_id,direction,volume
6/1/2025,Washington and Avenue 52,wb,
6/2/2025,Washington and Avenue 52,wb,
6/3/2025,Washington and Avenue 52,wb,
6/4/2025,Washington and Avenue 52,wb,
6/5/2025,Washington and Avenue 52,wb,
6/6/2025,Washington and Avenue 52,wb,
6/7/2025,Washington and Avenue 52,wb,
6/8/2025,Washington and Avenue 52,wb,
6/9/2025,Washington and Avenue 52,wb,
6/10/2025,Washington and Avenue 52,wb,
6/11/2025,Washington and Avenue 52,wb,
6/12/2025,Washington and Avenue 52,wb,
6/13/2025,Washington and Avenue 52,wb,
6/14/2025,Washington and Avenue 52,wb,
6/15/2025,Washington and Avenue 52,wb,
6/16/2025,Washington and Avenue 52,wb,
6/17/2025,Washington and Avenue 52,wb,8
6/18/2025,Washington and Avenue 52,wb,23
6/19/2025,Washington and Avenue 52,wb,29
6/20/2025,Washington and Avenue 52,wb,13
6/21/2025,Washington and Avenue 52,wb,30
6/22/2025,Washington and Avenue 52,wb,30
6/23/2025,Washington and Avenue 52,wb,40
6/24/2025,Washington and Avenue 52,wb,78
6/25/2025,Washington and Avenue 52,wb,42
6/26/2025,Washington and Avenue 52,wb,54
6/27/2025,Washington and Avenue 52,wb,76
6/28/2025,Washington and Avenue 52,wb,74
6/29/2025,Washington and Avenue 52,wb,43
6/30/2025,Washington and Avenue 52,wb,51
6/1/2025,Washington and Avenue 52,eb,
6/2/2025,Washington and Avenue 52,eb,
6/3/2025,Washington and Avenue 52,eb,
6/4/2025,Washington and Avenue 52,eb,
6/5/2025,Washington and Avenue 52,eb,
6/6/2025,Washington and Avenue 52,eb,
6/7/2025,Washington and Avenue 52,eb,
6/8/2025,Washington and Avenue 52,eb,
6/9/2025,Washington and Avenue 52,eb,
6/10/2025,Washington and Avenue 52,eb,
6/11/2025,Washington and Avenue 52,eb,
6/12/2025,Washington and Avenue 52,eb,
6/13/2025,Washington and Avenue 52,eb,
6/14/2025,Washington and Avenue 52,eb,
6/15/2025,Washington and Avenue 52,eb,
6/16/2025,Washington and Avenue 52,eb,
6/17/2025,Washington and Avenue 52,eb,5
6/18/2025,Washington and Avenue 52,eb,15
6/19/2025,Washington and Avenue 52,eb,19
6/20/2025,Washington and Avenue 52,eb,20
6/21/2025,Washington and Avenue 52,eb,26
6/22/2025,Washington and Avenue 52,eb,19
6/23/2025,Washington and Avenue 52,eb,29
6/24/2025,Washington and Avenue 52,eb,52
6/25/2025,Washington and Avenue 52,eb,59
6/26/2025,Washington and Avenue 52,eb,45
6/27/2025,Washington and Avenue 52,eb,50
6/28/2025,Washington and Avenue 52,eb,81
6/29/2025,Washington and Avenue 52,eb,59
6/30/2025,Washington and Avenue 52,eb,51
6/1/2025,Washington and Avenue 52,sb,
6/2/2025,Washington and Avenue 52,sb,
6/3/2025,Washington and Avenue 52,sb,
6/4/2025,Washington and Avenue 52,sb,
6/5/2025,Washington and Avenue 52,sb,
6/6/2025,Washington and Avenue 52,sb,
6/7/2025,Washington and Avenue 52,sb,
6/8/2025,Washington and Avenue 52,sb,
6/9/2025,Washington and Avenue 52,sb,
6/10/2025,Washington and Avenue 52,sb,
6/11/2025,Washington and Avenue 52,sb,
6/12/2025,Washington and Avenue 52,sb,
6/13/2025,Washington and Avenue 52,sb,
6/14/2025,Washington and Avenue 52,sb,
6/15/2025,Washington and Avenue 52,sb,
6/16/2025,Washington and Avenue 52,sb,
6/17/2025,Washington and Avenue 52,sb,0
6/18/2025,Washington and Avenue 52,sb,6
6/19/2025,Washington and Avenue 52,sb,10
6/20/2025,Washington and Avenue 52,sb,6
6/21/2025,Washington and Avenue 52,sb,14
6/22/2025,Washington and Avenue 52,sb,19
6/23/2025,Washington and Avenue 52,sb,23
6/24/2025,Washington and Avenue 52,sb,32
6/25/2025,Washington and Avenue 52,sb,31
6/26/2025,Washington and Avenue 52,sb,33
6/27/2025,Washington and Avenue 52,sb,32
6/28/2025,Washington and Avenue 52,sb,31
6/29/2025,Washington and Avenue 52,sb,31
6/30/2025,Washington and Avenue 52,sb,23
6/1/2025,Washington and Avenue 52,nb,
6/2/2025,Washington and Avenue 52,nb,
6/3/2025,Washington and Avenue 52,nb,
6/4/2025,Washington and Avenue 52,nb,
6/5/2025,Washington and Avenue 52,nb,
6/6/2025,Washington and Avenue 52,nb,
6/7/2025,Washington and Avenue 52,nb,
6/8/2025,Washington and Avenue 52,nb,
6/9/2025,Washington and Avenue 52,nb,
