local_datetime,segment_id,crosswalk,direction,volume
06/01/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/01/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/02/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/02/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/03/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/03/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/04/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/04/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/05/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/05/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/06/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/06/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/07/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/07/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/08/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/08/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/09/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/09/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/10/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/10/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/11/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/11/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/12/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/12/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/13/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/13/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/14/2025,Washington Street and Avenue 52,North Crosswalk,eb,
06/14/2025,Washington Street and Avenue 52,North Crosswalk,wb,
06/15/2025,Washington Street and Avenue 52,North Crosswalk,eb,0
06/15/2025,Washington Street and Avenue 52,North Crosswalk,wb,0
06/16/2025,Washington Street and Avenue 52,North Crosswalk,eb,0
06/16/2025,Washington Street and Avenue 52,North Crosswalk,wb,3
06/17/2025,Washington Street and Avenue 52,North Crosswalk,eb,2
06/17/2025,Washington Street and Avenue 52,North Crosswalk,wb,5
06/18/2025,Washington Street and Avenue 52,North Crosswalk,eb,2
06/18/2025,Washington Street and Avenue 52,North Crosswalk,wb,5
06/19/2025,Washington Street and Avenue 52,North Crosswalk,eb,0
06/19/2025,Washington Street and Avenue 52,North Crosswalk,wb,6
06/20/2025,Washington Street and Avenue 52,North Crosswalk,eb,2
06/20/2025,Washington Street and Avenue 52,North Crosswalk,wb,2
06/21/2025,Washington Street and Avenue 52,North Crosswalk,eb,3
06/21/2025,Washington Street and Avenue 52,North Crosswalk,wb,14
06/22/2025,Washington Street and Avenue 52,North Crosswalk,eb,1
06/22/2025,Washington Street and Avenue 52,North Crosswalk,wb,14
06/23/2025,Washington Street and Avenue 52,North Crosswalk,eb,3
06/23/2025,Washington Street and Avenue 52,North Crosswalk,wb,14
06/24/2025,Washington Street and Avenue 52,North Crosswalk,eb,11
06/24/2025,Washington Street and Avenue 52,North Crosswalk,wb,20
06/25/2025,Washington Street and Avenue 52,North Crosswalk,eb,5
06/25/2025,Washington Street and Avenue 52,North Crosswalk,wb,16
06/26/2025,Washington Street and Avenue 52,North Crosswalk,eb,6
06/26/2025,Washington Street and Avenue 52,North Crosswalk,wb,16
06/27/2025,Washington Street and Avenue 52,North Crosswalk,eb,3
06/27/2025,Washington Street and Avenue 52,North Crosswalk,wb,13
06/28/2025,Washington Street and Avenue 52,North Crosswalk,eb,3
06/28/2025,Washington Street and Avenue 52,North Crosswalk,wb,37
06/29/2025,Washington Street and Avenue 52,North Crosswalk,eb,6
06/29/2025,Washington Street and Avenue 52,North Crosswalk,wb,31
06/30/2025,Washington Street and Avenue 52,North Crosswalk,eb,8
06/30/2025,Washington Street and Avenue 52,North Crosswalk,wb,8
06/01/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/01/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/02/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/02/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/03/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/03/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/04/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/04/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/05/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/05/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/06/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/06/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/07/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/07/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/08/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/08/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/09/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/09/2025,Washington Street and Avenue 52,West Crosswalk,sb,
06/10/2025,Washington Street and Avenue 52,West Crosswalk,nb,
06/10/2025,Washington Street and Avenue 52,West Crosswalk,sb,
