local_datetime,segment_id,direction,turn_type,volume
6/15/2025,Washington and Avenue 52,eb,Right,2
6/15/2025,Washington and Avenue 52,eb,Through,4
6/15/2025,Washington and Avenue 52,eb,Left,6
6/16/2025,Washington and Avenue 52,eb,Right,256
6/16/2025,Washington and Avenue 52,eb,Through,1062
6/16/2025,Washington and Avenue 52,eb,Left,1261
6/17/2025,Washington and Avenue 52,eb,Right,248
6/17/2025,Washington and Avenue 52,eb,Through,1120
6/17/2025,Washington and Avenue 52,eb,Left,1314
6/18/2025,Washington and Avenue 52,eb,Right,351
6/18/2025,Washington and Avenue 52,eb,Through,1135
6/18/2025,Washington and Avenue 52,eb,Left,1225
6/19/2025,Washington and Avenue 52,eb,Right,233
6/19/2025,Washington and Avenue 52,eb,Through,1072
6/19/2025,Washington and Avenue 52,eb,Left,1244
6/20/2025,Washington and Avenue 52,eb,Right,260
6/20/2025,Washington and Avenue 52,eb,Through,1199
6/20/2025,Washington and Avenue 52,eb,Left,1313
6/21/2025,Washington and Avenue 52,eb,Right,275
6/21/2025,Washington and Avenue 52,eb,Through,907
6/21/2025,Washington and Avenue 52,eb,Left,1117
6/22/2025,Washington and Avenue 52,eb,Right,236
6/22/2025,Washington and Avenue 52,eb,Through,823
6/22/2025,Washington and Avenue 52,eb,Left,1014
6/23/2025,Washington and Avenue 52,eb,Right,719
6/23/2025,Washington and Avenue 52,eb,Through,2389
6/23/2025,Washington and Avenue 52,eb,Left,2534
6/24/2025,Washington and Avenue 52,eb,Right,1127
6/24/2025,Washington and Avenue 52,eb,Through,3434
6/24/2025,Washington and Avenue 52,eb,Left,4043
6/25/2025,Washington and Avenue 52,eb,Right,902
6/25/2025,Washington and Avenue 52,eb,Through,3528
6/25/2025,Washington and Avenue 52,eb,Left,3896
6/26/2025,Washington and Avenue 52,eb,Right,962
6/26/2025,Washington and Avenue 52,eb,Through,3532
6/26/2025,Washington and Avenue 52,eb,Left,3996
6/27/2025,Washington and Avenue 52,eb,Right,1009
6/27/2025,Washington and Avenue 52,eb,Through,3524
6/27/2025,Washington and Avenue 52,eb,Left,3878
6/28/2025,Washington and Avenue 52,eb,Right,849
6/28/2025,Washington and Avenue 52,eb,Through,2925
6/28/2025,Washington and Avenue 52,eb,Left,3358
6/29/2025,Washington and Avenue 52,eb,Right,703
6/29/2025,Washington and Avenue 52,eb,Through,2499
6/29/2025,Washington and Avenue 52,eb,Left,2949
6/30/2025,Washington and Avenue 52,eb,Right,832
6/30/2025,Washington and Avenue 52,eb,Through,3299
6/30/2025,Washington and Avenue 52,eb,Left,3700
6/15/2025,Washington and Avenue 52,sb,Right,10
6/15/2025,Washington and Avenue 52,sb,Through,0
6/15/2025,Washington and Avenue 52,sb,Left,5
6/16/2025,Washington and Avenue 52,sb,Right,1969
6/16/2025,Washington and Avenue 52,sb,Through,116
6/16/2025,Washington and Avenue 52,sb,Left,1365
6/17/2025,Washington and Avenue 52,sb,Right,2041
6/17/2025,Washington and Avenue 52,sb,Through,109
6/17/2025,Washington and Avenue 52,sb,Left,1466
6/18/2025,Washington and Avenue 52,sb,Right,1866
6/18/2025,Washington and Avenue 52,sb,Through,129
6/18/2025,Washington and Avenue 52,sb,Left,1473
6/19/2025,Washington and Avenue 52,sb,Right,1971
6/19/2025,Washington and Avenue 52,sb,Through,120
6/19/2025,Washington and Avenue 52,sb,Left,1421
6/20/2025,Washington and Avenue 52,sb,Right,2014
6/20/2025,Washington and Avenue 52,sb,Through,97
6/20/2025,Washington and Avenue 52,sb,Left,1384
6/21/2025,Washington and Avenue 52,sb,Right,1725
6/21/2025,Washington and Avenue 52,sb,Through,107
6/21/2025,Washington and Avenue 52,sb,Left,1048
6/22/2025,Washington and Avenue 52,sb,Right,1542
6/22/2025,Washington and Avenue 52,sb,Through,58
6/22/2025,Washington and Avenue 52,sb,Left,767
6/23/2025,Washington and Avenue 52,sb,Right,4812
6/23/2025,Washington and Avenue 52,sb,Through,239
6/23/2025,Washington and Avenue 52,sb,Left,3060
6/24/2025,Washington and Avenue 52,sb,Right,6092
6/24/2025,Washington and Avenue 52,sb,Through,281
6/24/2025,Washington and Avenue 52,sb,Left,4157
6/25/2025,Washington and Avenue 52,sb,Right,6123
6/25/2025,Washington and Avenue 52,sb,Through,228
6/25/2025,Washington and Avenue 52,sb,Left,4095
6/26/2025,Washington and Avenue 52,sb,Right,6242
6/26/2025,Washington and Avenue 52,sb,Through,319
6/26/2025,Washington and Avenue 52,sb,Left,4025
6/27/2025,Washington and Avenue 52,sb,Right,5900
6/27/2025,Washington and Avenue 52,sb,Through,356
6/27/2025,Washington and Avenue 52,sb,Left,4209
6/28/2025,Washington and Avenue 52,sb,Right,5179
6/28/2025,Washington and Avenue 52,sb,Through,274
6/28/2025,Washington and Avenue 52,sb,Left,2935
6/29/2025,Washington and Avenue 52,sb,Right,4704
6/29/2025,Washington and Avenue 52,sb,Through,201
6/29/2025,Washington and Avenue 52,sb,Left,2197
6/30/2025,Washington and Avenue 52,sb,Right,5831
6/30/2025,Washington and Avenue 52,sb,Through,277
6/30/2025,Washington and Avenue 52,sb,Left,3983
6/15/2025,Washington and Avenue 52,nb,Right,0
6/15/2025,Washington and Avenue 52,nb,Through,0
6/15/2025,Washington and Avenue 52,nb,Left,0
6/16/2025,Washington and Avenue 52,nb,Right,116
6/16/2025,Washington and Avenue 52,nb,Through,58
6/16/2025,Washington and Avenue 52,nb,Left,16
6/17/2025,Washington and Avenue 52,nb,Right,127
6/17/2025,Washington and Avenue 52,nb,Through,50
6/17/2025,Washington and Avenue 52,nb,Left,18
6/18/2025,Washington and Avenue 52,nb,Right,145
6/18/2025,Washington and Avenue 52,nb,Through,54
6/18/2025,Washington and Avenue 52,nb,Left,9
6/19/2025,Washington and Avenue 52,nb,Right,102
6/19/2025,Washington and Avenue 52,nb,Through,54
6/19/2025,Washington and Avenue 52,nb,Left,18
6/20/2025,Washington and Avenue 52,nb,Right,85
6/20/2025,Washington and Avenue 52,nb,Through,48
6/20/2025,Washington and Avenue 52,nb,Left,17
6/21/2025,Washington and Avenue 52,nb,Right,65
6/21/2025,Washington and Avenue 52,nb,Through,38
6/21/2025,Washington and Avenue 52,nb,Left,10
6/22/2025,Washington and Avenue 52,nb,Right,51
6/22/2025,Washington and Avenue 52,nb,Through,32
6/22/2025,Washington and Avenue 52,nb,Left,7
6/23/2025,Washington and Avenue 52,nb,Right,205
6/23/2025,Washington and Avenue 52,nb,Through,144
6/23/2025,Washington and Avenue 52,nb,Left,33
6/24/2025,Washington and Avenue 52,nb,Right,288
6/24/2025,Washington and Avenue 52,nb,Through,112
6/24/2025,Washington and Avenue 52,nb,Left,79
6/25/2025,Washington and Avenue 52,nb,Right,363
6/25/2025,Washington and Avenue 52,nb,Through,97
6/25/2025,Washington and Avenue 52,nb,Left,50
6/26/2025,Washington and Avenue 52,nb,Right,508
6/26/2025,Washington and Avenue 52,nb,Through,197
6/26/2025,Washington and Avenue 52,nb,Left,60
